sampleID,project,turfID,rep,day,dna.rna,pairedSampleID,bottleID,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,exp.moisture.level,exp.temp,colour,transcol
G05,ST,NA,B,1,DNA,R13,SL20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
G06,ST,NA,C,1,DNA,R14,SL20_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
G07,ST,NA,B,1,DNA,R15,SH20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
G08,ST,NA,A,1,DNA,R16,SH20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
G09,ST,NA,C,1,DNA,R17,UL10_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
G10,ST,NA,C,1,DNA,R18,UL20_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
G11,ST,NA,B,1,DNA,R19,UL20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
G12,ST,NA,A,1,DNA,R20,UL20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
H01,ST,NA,A,5,DNA,R25,SL10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
H02,ST,NA,B,5,DNA,R26,SL10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
H03,ST,NA,C,5,DNA,R27,SL10_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
H04,ST,NA,A,5,DNA,R28,SL20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
H05,ST,NA,B,5,DNA,R29,SL20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
H06,ST,NA,C,5,DNA,R30,SL20_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,20,6,NA
H07,ST,NA,A,5,DNA,R31,SH10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
H08,ST,NA,B,5,DNA,R32,SH10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
H09,ST,NA,C,5,DNA,R33,SH10_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
H10,ST,NA,A,5,DNA,R34,SH20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
H12,ST,NA,C,5,DNA,R36,SH20_3,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,20,6,NA
H13,ST,NA,A,5,DNA,R37,UL10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
H14,ST,NA,B,5,DNA,R38,UL10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
H15,ST,NA,C,5,DNA,R39,UL10_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
H16,ST,NA,A,5,DNA,R40,UL20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
H17,ST,NA,B,5,DNA,R41,UL20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
H18,ST,NA,C,5,DNA,R42,UL20_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
H19,ST,NA,A,5,DNA,R43,UH10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
H20,ST,NA,B,5,DNA,R44,UH10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
H21,ST,NA,C,5,DNA,R45,UH10_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
H22,ST,NA,A,5,DNA,R46,UH20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,20,5,NA
H23,ST,NA,B,5,DNA,R47,UH20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,20,5,NA
H24,ST,NA,C,5,DNA,R48,UH20_3,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,20,5,NA
I01,LT,NA,A,150,DNA,NA,GL10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,10,8,NA
I02,LT,NA,B,150,DNA,NA,GL10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,10,8,NA
I03,LT,NA,A,150,DNA,NA,GM10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,10,8,NA
I04,LT,NA,B,150,DNA,NA,GM10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,10,8,NA
I05,LT,NA,A,150,DNA,NA,GH10_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,10,8,NA
I06,LT,NA,B,150,DNA,NA,GH10_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,10,8,NA
I07,LT,NA,A,150,DNA,NA,LL10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,10,4,NA
I08,LT,NA,B,150,DNA,NA,LL10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,10,4,NA
I09,LT,NA,A,150,DNA,NA,LM10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,10,4,NA
I10,LT,NA,B,150,DNA,NA,LM10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,2,10,4,NA
I11,LT,NA,A,150,DNA,NA,LH10_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,10,4,NA
I12,LT,NA,B,150,DNA,NA,LH10_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,10,4,NA
I13,ST,NA,A,150,DNA,NA,SL10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
I14,ST,NA,B,150,DNA,NA,SL10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,1,10,6,NA
I15,ST,NA,A,150,DNA,NA,SM10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,10,6,NA
I16,ST,NA,B,150,DNA,NA,SM10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,10,6,NA
I17,ST,NA,A,150,DNA,NA,SH10_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
I18,ST,NA,B,150,DNA,NA,SH10_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,3,10,6,NA
I19,ST,NA,A,150,DNA,NA,UL10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
I20,ST,NA,B,150,DNA,NA,UL10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,10,5,NA
I21,ST,NA,A,150,DNA,NA,UM10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,10,5,NA
I22,ST,NA,B,150,DNA,NA,UM10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,10,5,NA
I23,ST,NA,A,150,DNA,NA,UH10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
I24,ST,NA,B,150,DNA,NA,UH10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,10,5,NA
J01,LT,NA,A,150,DNA,NA,GL20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,20,8,NA
J02,LT,NA,B,150,DNA,NA,GL20_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,1,20,8,NA
J03,LT,NA,A,150,DNA,NA,GM20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,20,8,NA
J04,LT,NA,B,150,DNA,NA,GM20_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,20,8,NA
J05,LT,NA,A,150,DNA,NA,GH20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,3,20,8,NA
