Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
I21,20221,20216,1837,1832,933.849827476077,6.1655927429168,0.820341103096564,0.901492644372524,0.992033406947391
I22,21220,21216,1896,1892,941.039913162315,6.24610528968212,0.827572560057056,0.912241633939507,0.994520978110917
I23,22522,22510,2142,2130,1044.83387471975,6.46801586848185,0.843343095835677,0.930433800157783,0.995513567879964
I24,22118,22109,2053,2044,1009.08916713591,6.37998927764863,0.836494198065481,0.922389855478182,0.994989786754913
J01,26304,26300,1798,1794,847.137116665495,5.99407274567316,0.799803664013157,0.889082606836115,0.992221776608962
J02,16341,16338,1532,1529,850.159071861541,5.98419966895019,0.815916409413081,0.887149589766417,0.992338717860375
J03,14645,14645,1096,1096,762.799936403933,5.99890468738383,0.857057095100541,0.903858443921587,0.993129791546631
J04,31607,31604,1983,1980,859.351482873581,6.06897591453527,0.799352377348862,0.898285376876369,0.992499390759752
J05,27319,27315,2108,2104,1015.37845901955,6.49488927567751,0.84861744240253,0.938158835717984,0.996041370622417
J06,19919,19914,1955,1950,1023.73434564694,6.47640807770065,0.854616489122758,0.934383157866309,0.995955468132306
J07,20939,20929,2484,2474,1211.29192075036,6.73711684581225,0.8617855760535,0.948964173961326,0.99617543468223
J08,25877,25867,2807,2797,1246.31189734601,6.85033368539557,0.862776383662172,0.961053243118356,0.99698491140327
J09,22661,22652,2760,2751,1296.03986546854,6.95178743698414,0.877420138469483,0.969962447584073,0.997500325794906
J10,19577,19562,2512,2497,1259.18250679695,6.89955072983242,0.881299854469913,0.966564868723211,0.997569875273539
J11,21916,21907,2793,2784,1347.01772253216,7.04389398104619,0.887713672805634,0.977551728195208,0.997979900758312
J12,19878,19863,2784,2769,1360.80525472695,7.02629946463628,0.885856632701977,0.973733806372528,0.997692600585475
J13,25653,25651,2739,2737,1237.84791018865,6.80492952389202,0.859713227816933,0.955596922315507,0.996588552682793
J14,21851,21842,2513,2504,1191.2050808788,6.70321667978295,0.856178003097871,0.94641832136342,0.996076675173915
J15,22734,22729,2534,2529,1223.38869022595,6.8128984101261,0.869263305417151,0.95829713755994,0.997035253565648
J16,27853,27846,2858,2851,1248.22290414767,6.891737849157,0.866027150042038,0.966654170912588,0.997416156420832
J17,22875,22863,2923,2911,1360.31611315513,7.02882937837509,0.88076531643498,0.974132946610218,0.997773763564155
J18,22369,22356,2873,2860,1332.8025988188,6.99590434770327,0.878538980223771,0.972323309508611,0.997769170455508
J19,24322,24318,1143,1139,507.703664266384,4.54754004241942,0.645827890705743,0.729954180103531,0.950980107697806
J20,22716,22715,1039,1038,477.902738339002,4.32322797013762,0.622404155200018,0.70075256910494,0.932958071027847
J21,26565,26560,1395,1390,674.980614003724,5.34662589925835,0.738417976980742,0.820703801365857,0.978383418233172
J22,22772,22764,1413,1405,693.93436720717,5.46070649303135,0.75284053079849,0.834666998291241,0.983528578413575
J23,24613,24607,1577,1571,764.91313873256,5.76288888180213,0.782652459918206,0.867936024810587,0.989117207801378
J24,26513,26506,2359,2352,1068.81825843633,6.45415787776933,0.831079529916553,0.925418988962847,0.994658685750374
K01,27441,27423,3589,3571,1429.38318395373,7.05862953317267,0.862319759060451,0.97159410795591,0.996884729642242
K02,20116,20100,3028,3012,1395.20099842389,6.99189663318692,0.872279851435876,0.965625711278428,0.997001454004634
K03,26920,26901,3334,3315,1359.93416138472,6.95244123168525,0.857063965240309,0.963583734029311,0.996747969880489
K04,21621,21606,3029,3014,1357.22072012056,6.93975257249561,0.865738912794865,0.962091451338385,0.996652690234018
K05,25967,25952,3132,3117,1336.47746590922,6.95223201492921,0.863692777834138,0.965883893705472,0.997032292375073
K06,22487,22471,3080,3064,1350.46206697916,6.9468744414822,0.864825964014352,0.963745794006042,0.99693150903973
K07,20074,20061,3153,3140,1490.67035010653,7.14147753913519,0.886467270300101,0.977349926930908,0.997489100033969
K08,25733,25718,3577,3562,1508.90605177987,7.20117819304359,0.880094352982329,0.983883078886863,0.997585805365708
K09,24227,24210,3458,3441,1494.8497444416,7.178178456262,0.880926099317225,0.981996379978452,0.997510511710494
K10,28796,28778,3726,3708,1489.27262191759,7.20741613901001,0.876485075066083,0.986500631588627,0.997714787716596
